 2023-Jan-11 00:00,*, , 06 46 13.92, +07 33 56.6,
 2023-Jan-12 00:00,*, , 06 46 45.04, +07 37 30.1,
 2023-Jan-13 00:00,*, , 06 47 16.78, +07 41 44.7,
 2023-Jan-14 00:00,*, , 06 47 49.17, +07 46 42.0,
 2023-Jan-15 00:00,*, , 06 48 22.31, +07 52 23.1,
 2023-Jan-16 00:00,*, , 06 48 56.38, +07 58 49.5,
 2023-Jan-17 00:00,*, , 06 49 31.63, +08 06 02.8,
 2023-Jan-18 00:00,*, , 06 50 08.43, +08 14 04.0,
 2023-Jan-19 00:00,*, , 06 50 47.28, +08 22 54.2,
 2023-Jan-20 00:00,*, , 06 51 28.77, +08 32 33.5,
 2023-Jan-21 00:00,*, , 06 52 13.62, +08 43 01.6,
 2023-Jan-22 00:00,*,m, 06 53 02.59, +08 54 17.0,
 2023-Jan-23 00:00,*,m, 06 53 56.45, +09 06 17.2,
 2023-Jan-24 00:00,*,m, 06 54 55.87, +09 18 59.1,
 2023-Jan-25 00:00,*,m, 06 56 01.44, +09 32 19.0,
 2023-Jan-26 00:00,*,m, 06 57 13.57, +09 46 12.7,
 2023-Jan-27 00:00,*,m, 06 58 32.51, +10 00 36.4,
 2023-Jan-28 00:00,*,m, 06 59 58.41, +10 15 26.5,
 2023-Jan-29 00:00,*,m, 07 01 31.29, +10 30 39.8,
 2023-Jan-30 00:00,*,m, 07 03 11.12, +10 46 13.6,
 2023-Jan-31 00:00,*,m, 07 04 57.80, +11 02 05.6,
 2023-Feb-01 00:00,*,m, 07 06 51.19, +11 18 13.9,
 2023-Feb-02 00:00,*,m, 07 08 51.17, +11 34 37.0,
 2023-Feb-03 00:00,*,m, 07 10 57.58, +11 51 13.8,
 2023-Feb-04 00:00,*,m, 07 13 10.26, +12 08 03.4,
 2023-Feb-05 00:00,*, , 07 15 29.06, +12 25 05.2,
 2023-Feb-06 00:00,*, , 07 17 53.86, +12 42 18.9,
 2023-Feb-07 00:00,*, , 07 20 24.53, +12 59 44.4,
 2023-Feb-08 00:00,*, , 07 23 00.98, +13 17 21.6,
 2023-Feb-09 00:00,*, , 07 25 43.14, +13 35 10.7,
 2023-Feb-10 00:00,*, , 07 28 31.01, +13 53 11.9,
 2023-Feb-11 00:00,*, , 07 31 24.62, +14 11 25.4,
 2023-Feb-12 00:00,*, , 07 34 24.08, +14 29 51.0,
 2023-Feb-13 00:00,*, , 07 37 29.57, +14 48 28.7,
 2023-Feb-14 00:00,*, , 07 40 41.36, +15 07 17.8,
 2023-Feb-15 00:00,*, , 07 43 59.81, +15 26 17.3,
 2023-Feb-16 00:00,*, , 07 47 25.41, +15 45 25.5,
 2023-Feb-17 00:00,*, , 07 50 58.76, +16 04 39.9,
 2023-Feb-18 00:00,*, , 07 54 40.57, +16 23 57.1,
 2023-Feb-19 00:00,*,m, 07 58 31.61, +16 43 12.5,
 2023-Feb-20 00:00,*,m, 08 02 32.71, +17 02 20.8,
 2023-Feb-21 00:00,*,m, 08 06 44.66, +17 21 15.9,
 2023-Feb-22 00:00,*,m, 08 11 08.16, +17 39 51.2,
 2023-Feb-23 00:00,*,m, 08 15 43.79, +17 58 00.0,
 2023-Feb-24 00:00,*,m, 08 20 31.99, +18 15 35.7,
 2023-Feb-25 00:00,*,m, 08 25 33.04, +18 32 32.1,
 2023-Feb-26 00:00,*,m, 08 30 47.13, +18 48 43.3,
 2023-Feb-27 00:00,*,m, 08 36 14.35, +19 04 03.7,
 2023-Feb-28 00:00,*,m, 08 41 54.69, +19 18 27.9,
 2023-Mar-01 00:00,*,m, 08 47 48.14, +19 31 50.8,
 2023-Mar-02 00:00,*,m, 08 53 54.60, +19 44 07.2,
 2023-Mar-03 00:00,*,m, 09 00 13.98, +19 55 12.3,
 2023-Mar-04 00:00,*,m, 09 06 46.11, +20 05 01.1,
 2023-Mar-05 00:00,*,m, 09 13 30.82, +20 13 28.6,
 2023-Mar-06 00:00,*, , 09 20 27.88, +20 20 29.9,
 2023-Mar-07 00:00,*, , 09 27 37.04, +20 26 00.2,
 2023-Mar-08 00:00,*, , 09 34 57.97, +20 29 54.7,
 2023-Mar-09 00:00,*, , 09 42 30.30, +20 32 08.4,
 2023-Mar-10 00:00,*, , 09 50 13.63, +20 32 36.7,
 2023-Mar-11 00:00,*, , 09 58 07.47, +20 31 14.6,
 2023-Mar-12 00:00,*, , 10 06 11.33, +20 27 57.0,
 2023-Mar-13 00:00,*, , 10 14 24.69, +20 22 38.9,
 2023-Mar-14 00:00,*, , 10 22 46.99, +20 15 14.5,
 2023-Mar-15 00:00,*, , 10 31 17.68, +20 05 38.1,
 2023-Mar-16 00:00,*, , 10 39 56.21, +19 53 43.3,
 2023-Mar-17 00:00,*, , 10 48 42.04, +19 39 23.5,
 2023-Mar-18 00:00,*, , 10 57 34.65, +19 22 31.7,
 2023-Mar-19 00:00,*, , 11 06 33.54, +19 03 00.5,
 2023-Mar-20 00:00,*,m, 11 15 38.21, +18 40 43.0,
 2023-Mar-21 00:00,*,m, 11 24 48.19, +18 15 32.6,
 2023-Mar-22 00:00,*,m, 11 34 02.95, +17 47 24.1,
 2023-Mar-23 00:00,*,m, 11 43 21.88, +17 16 13.8,
 2023-Mar-24 00:00,*,m, 11 52 44.30, +16 42 00.2,
 2023-Mar-25 00:00,*,m, 12 02 09.47, +16 04 44.2,
 2023-Mar-26 00:00,*,m, 12 11 36.54, +15 24 28.8,
 2023-Mar-27 00:00,*,m, 12 21 04.61, +14 41 19.6,
 2023-Mar-28 00:00,*,m, 12 30 32.72, +13 55 24.3,
 2023-Mar-29 00:00,*,m, 12 39 59.91, +13 06 52.2,
 2023-Mar-30 00:00,*,m, 12 49 25.25, +12 15 54.5,
 2023-Mar-31 00:00,*,m, 12 58 47.80, +11 22 43.5,
 2023-Apr-01 00:00,*,m, 13 08 06.68, +10 27 32.8,
 2023-Apr-02 00:00,*,m, 13 17 21.05, +09 30 36.8,
 2023-Apr-03 00:00,*,m, 13 26 30.13, +08 32 10.3,
 2023-Apr-04 00:00,*, , 13 35 33.17, +07 32 28.8,
 2023-Apr-05 00:00,*, , 13 44 29.48, +06 31 47.7,
 2023-Apr-06 00:00,*, , 13 53 18.39, +05 30 22.4,
 2023-Apr-07 00:00,*, , 14 01 59.30, +04 28 27.7,
 2023-Apr-08 00:00,*, , 14 10 31.62, +03 26 18.2,
 2023-Apr-09 00:00,*, , 14 18 54.79, +02 24 07.5,
 2023-Apr-10 00:00,*, , 14 27 08.26, +01 22 08.1,
 2023-Apr-11 00:00,*, , 14 35 11.52, +00 20 31.6,
 2023-Apr-12 00:00,*, , 14 43 04.10, -00 40 32.1,
 2023-Apr-13 00:00,*, , 14 50 45.60, -01 40 54.8,
 2023-Apr-14 00:00,*, , 14 58 15.69, -02 40 29.6,
 2023-Apr-15 00:00,*, , 15 05 34.16, -03 39 11.7,
 2023-Apr-16 00:00,*, , 15 12 40.91, -04 36 57.5,
 2023-Apr-17 00:00,*, , 15 19 35.98, -05 33 45.0,
 2023-Apr-18 00:00,*,m, 15 26 19.56, -06 29 33.2,
 2023-Apr-19 00:00,*,m, 15 32 51.96, -07 24 21.8,
 2023-Apr-20 00:00,*,m, 15 39 13.58, -08 18 11.2,
 2023-Apr-21 00:00,*,m, 15 45 24.95, -09 11 01.7,
 2023-Apr-22 00:00,*,m, 15 51 26.58, -10 02 53.6,
 2023-Apr-23 00:00,*,m, 15 57 19.03, -10 53 47.1,
 2023-Apr-24 00:00,*,m, 16 03 02.84, -11 43 42.2,
 2023-Apr-25 00:00,*,m, 16 08 38.51, -12 32 38.5,
